username,user id,access hash,name,group,group id
,858132119,-779821930164394568,𝓜𝓾𝓻𝓸𝓭𝓾𝓵𝓵𝓪𝔂𝓮𝓿𝓷𝓪🍀,💜 BTS ARMY CHAT 💜,1779709766
,872880236,5037441189080320302,꧁𖣔Ocaen girl𖣔꧂,💜 BTS ARMY CHAT 💜,1779709766
rainy_ltn,6138563395,-6720187670069369845,*RAINY DAY*,💜 BTS ARMY CHAT 💜,1779709766
,6029859686,-7298248226000438728,DIMA,💜 BTS ARMY CHAT 💜,1779709766
chon_hana1,5982330740,8178901480465002517,#Hana1,💜 BTS ARMY CHAT 💜,1779709766
Umarov1134,744715171,5452810531988724217,𝑈𝑚𝑎𝑟𝑜𝑣 🎧,💜 BTS ARMY CHAT 💜,1779709766
ZazyvalaTag3Bot,1624990893,585713551009290113,Зазывала tag bot 3,💜 BTS ARMY CHAT 💜,1779709766
Gshshhhhhwyauua,5465814519,2689052136671517252,John Wick,💜 BTS ARMY CHAT 💜,1779709766
STELLA_0808,6079736440,5626188065593327359,(ˊo̴̶̷̤⌄o̴̶̷̤ˋ) 𝖆𝖑𝖔𝖓𝖊 𝖌𝖍𝖔𝖘𝖙(ˊo̴̶̷̤⌄o̴̶̷̤ˋ),💜 BTS ARMY CHAT 💜,1779709766
murodshi,1594241430,245692271543054160,༺ཽ𝄂𝄃무럳씨 𝑀𝑢𝑟𝑜𝑑 𝑂𝑘𝑒𝑛😜مٗرَتجَن,💜 BTS ARMY CHAT 💜,1779709766
AnyaAi_bot,5915439168,8834617022644930087,Чат-бот нейросеть | Аня,💜 BTS ARMY CHAT 💜,1779709766
iqmeterbot,2003145879,8798986074552021631,IQ-Meter 🧠,💜 BTS ARMY CHAT 💜,1779709766
bforgame_bot,1721358063,-6030826628359931627,BFG,💜 BTS ARMY CHAT 💜,1779709766
Xisoblovchibot,1448518814,8259239004793459918,XISOBLOVCHI 👥,💜 BTS ARMY CHAT 💜,1779709766
SuperDefenderBot,1163529566,5898113462142214164,SUPERDEFENDER 🗑,💜 BTS ARMY CHAT 💜,1779709766
Qorovul_ro_bot,898570499,5674986724858965570,Qorovul 👮‍♂,💜 BTS ARMY CHAT 💜,1779709766
MentionRobot,866121633,-8462326652132291570,Mention Robot,💜 BTS ARMY CHAT 💜,1779709766
TrueMafiaBot,468253535,1117807644496712526,True Mafia,💜 BTS ARMY CHAT 💜,1779709766
GroupHelpBot,162726413,4653168639033637589,Group Help,💜 BTS ARMY CHAT 💜,1779709766
dont_love_and_love0607,5214857023,1035170213802582569,꯭✨꯭❤️꯭꯭̲̲̲̱̻̩̣̬̬ྃ͜͢᷼͡͝방탄소년단 ꯭퀸꯭🇰🇷,💜 BTS ARMY CHAT 💜,1779709766
Multifandomer_0401,1301951102,4271222403560161320,❥𝑱𝒊𝒏𝒔𝒐𝒐シ︎,💜 BTS ARMY CHAT 💜,1779709766
Mawulya7,5906077540,-7896023424611232823,I'mmasha,💜 BTS ARMY CHAT 💜,1779709766
Jiminfanboy,5546933635,-7275786716917672125,I'M JIMIN🖤,💜 BTS ARMY CHAT 💜,1779709766
pozerov_ya_ebal_vrot,2055363545,7353498001476835428,акума,💜 BTS ARMY CHAT 💜,1779709766
yoorah_kim,5909034932,6380019180191572914,디♡,💜 BTS ARMY CHAT 💜,1779709766
Abdumalikovna_01,268810865,-1655874260272552451,—𝑠𝑜𝑦𝑎𝑎𝑎𝑠🧚🏻‍♀️,💜 BTS ARMY CHAT 💜,1779709766
dont_love_and_love,5225456201,-987293098270496186,🔥Тадараке❄️,💜 BTS ARMY CHAT 💜,1779709766
bts_army001,1347676985,-8572503574419723291,Nobody Knows,💜 BTS ARMY CHAT 💜,1779709766
