username,user id,access hash,name,group,group id
Jaxongirovna04,5772807608,3679523341134695293,꯭😜꙰꙲꯭👻꙰꙲꯭𝘜𝘚𝘗𝘈 𝘒𝘖𝘠𝘚𝘈🌸꙰🕊꙰,Mafiya O'yini |UZB❤️‍🔥,1429658374
,1643944176,2788789585651083830,Munisaxon,Mafiya O'yini |UZB❤️‍🔥,1429658374
Sabi_1me,1629526523,3989183005690919914,Sabiw❤,Mafiya O'yini |UZB❤️‍🔥,1429658374
Baqay_togos1,5154683967,3866862365575313571,ㅤ꯭꯭𝐍꯭X꯭🦅꯭𝜨꯭ 𝝄꯭ 𝐑 ꯭𝐵 ꯭𝑜 ꯭𝚼 ꯭𝛜 ꯭𝖵꯭ 🐊꯭,Mafiya O'yini |UZB❤️‍🔥,1429658374
MafiaAzBot,1050428643,-4176252907358136491,Mafia Baku,Mafiya O'yini |UZB❤️‍🔥,1429658374
Jaxongirovna02,5627445129,-7849576989400394596,🌸꯭🦋꯭𑜞꯭᭄🇲꯭҈🇮꯭҈🇸꯭҈🇸꯭҈ ꯭ 🇵꯭҈🇴꯭҈🇲꯭҈🇵꯭҈🇦꯭҈🇱꯭҈🇴꯭҈꯭🧸꯭꯭🌸꯭𑜞᭄,Mafiya O'yini |UZB❤️‍🔥,1429658374
Fontanchik04,1270427146,5937471316745797197,•|꯭❦|꯭𝗠꯭⸽𝗜꯭⸽𝗟⸽꯭𝗬⸽꯭𝗔꯭⸽𝗥⸽꯭𝗗꯭⸽𝗘⸽꯭𝗥⸽|꯭❦꯭|•,Mafiya O'yini |UZB❤️‍🔥,1429658374
Absde112,5961293414,2782567407858711363,ㅤ꯭꯭𝐍꯭X꯭🦅꯭𝜨꯭ 𝝄꯭ 𝐑 ꯭𝐵 ꯭𝑜 ꯭𝚼 ꯭𝛜 ꯭𝖵꯭ 🐊꯭,Mafiya O'yini |UZB❤️‍🔥,1429658374
ProCounterBot,1935526712,5201306171570045204,➕ Sanovchi Bot ➕,Mafiya O'yini |UZB❤️‍🔥,1429658374
GroupJoinUzBot,946529106,-8851617321550408885,Group Join Bot,Mafiya O'yini |UZB❤️‍🔥,1429658374
GroupHelpBot,162726413,4653168639033637589,Group Help,Mafiya O'yini |UZB❤️‍🔥,1429658374
SuperDefenderBot,1163529566,5898113462142214164,SUPERDEFENDER 🗑,Mafiya O'yini |UZB❤️‍🔥,1429658374
Ega0001,924855583,1912427953661236878,133,Mafiya O'yini |UZB❤️‍🔥,1429658374
