username,user id,access hash,name,group,group id
hugo0069,806879735,7464564860248264537,かみ,Mafiya O‘yini | UZB,1429813937
grafikus_001,1394484060,9114477112373982648,𝔼𝕧𝕖𝕣 𝔻𝕆ℕ,Mafiya O‘yini | UZB,1429813937
TrueMafiaBot,468253535,1117807644496712526,True Mafia,Mafiya O‘yini | UZB,1429813937
,2081141530,-3815425481932842101,di,Mafiya O‘yini | UZB,1429813937
,5564809170,6457499595230310486,Sabina,Mafiya O‘yini | UZB,1429813937
Hadicha1_kubro,5916906997,-6230769194472726007,💗,Mafiya O‘yini | UZB,1429813937
Wedr1y,6105674318,-222119172815803679,🐊,Mafiya O‘yini | UZB,1429813937
Leyla20_04,5852118236,-5328827104817025294,Q I R O L I C H @,Mafiya O‘yini | UZB,1429813937
,5604065466,869580128934993879,❤❤❤,Mafiya O‘yini | UZB,1429813937
,1135996936,3159663790031561290,Yorqinoy,Mafiya O‘yini | UZB,1429813937
Madi_innnnnn,5927087426,585700817849171885,Madi_innnnn,Mafiya O‘yini | UZB,1429813937
JOINGR_BOT,1297860050,-7520317171458277538,Kanal VS Guruh Bot ♻️,Mafiya O‘yini | UZB,1429813937
JR_0503,5495162699,-1686082090771703847,꧁☬ ❰꯭꯭꯭🤨🤨🤨❱ ☬꧂,Mafiya O‘yini | UZB,1429813937
,5779021641,-6703535985606115356,F@risht@,Mafiya O‘yini | UZB,1429813937
,5103405241,4587545266885085633,Qudrat-_-,Mafiya O‘yini | UZB,1429813937
,5536773654,6202042392263007042,KAROLINA,Mafiya O‘yini | UZB,1429813937
Rozimoff,907911525,-6000661453748455934,ɪsʟᴏᴍ 🌙,Mafiya O‘yini | UZB,1429813937
SuperDefenderBot,1163529566,5898113462142214164,SUPERDEFENDER 🗑,Mafiya O‘yini | UZB,1429813937
,1302291963,6036217364730943585,Muza__40,Mafiya O‘yini | UZB,1429813937
Sokinmangbot,1744920030,7516232952526986940,So‘kinmang! 🤐,Mafiya O‘yini | UZB,1429813937
,1150253017,4768537255767774338,𝐴𝑙𝚤𝑚𝑜𝑣𝑎 𝐿𝑎𝑧𝑖𝑧𝑎🖤,Mafiya O‘yini | UZB,1429813937
MAGNAT_IS_UZB,1688352039,-4570173348082565561,《...🔱TEMURBEK🔱...》,Mafiya O‘yini | UZB,1429813937
,1704134983,8059354352420145825,",,,,,,,,,,,",Mafiya O‘yini | UZB,1429813937
stundka,5182554092,7362200287535036444,@@@@@@,Mafiya O‘yini | UZB,1429813937
oybek_09_01,6196860037,7174608182789185875,Oybek,Mafiya O‘yini | UZB,1429813937
,5549281977,3850268467378958749,Ирода Искандарова,Mafiya O‘yini | UZB,1429813937
U_m1_d,5959335993,2358019172482112274,𝕌𝕞𝕚𝕕✌(◕‿-),Mafiya O‘yini | UZB,1429813937
,5358062018,-5701993917262638243,Umid_Akow,Mafiya O‘yini | UZB,1429813937
NeGuS111,1296970468,-2969534147641439924,M.Shexroz,Mafiya O‘yini | UZB,1429813937
AntonyMU,5058445815,-3567365938919394235,Anvarjon,Mafiya O‘yini | UZB,1429813937
nyctophilia48,6107866243,-1716647985489233063,Behzod,Mafiya O‘yini | UZB,1429813937
Abdullayeva_1202,1942537124,-5184576487605071871,Абдуллаева,Mafiya O‘yini | UZB,1429813937
nikotinka_15,5638238697,5349716011505213366,➬꯭❊💊꯭𝐍꯭𝛊꯭𝛋꯭𝛐꯭𝛕꯭𝛊꯭𝛈꯭𝛋꯭𝛂꯭⤿꯭🍂꯭⦁꯭➤,Mafiya O‘yini | UZB,1429813937
MafiaAzBot,1050428643,-4176252907358136491,Mafia Baku,Mafiya O‘yini | UZB,1429813937
MAKSETOVICH,1227897940,-7651531912945035286,MAKHSETOVICH,Mafiya O‘yini | UZB,1429813937
,5994076079,5514294769955220625,...,Mafiya O‘yini | UZB,1429813937
,1322716356,1482400923275957915,202,Mafiya O‘yini | UZB,1429813937
aslanov_o4,1750106214,5513085496729365107,𝓐𝓼𝓵𝓪𝓷𝓸𝓿,Mafiya O‘yini | UZB,1429813937
Nasirova_19_03,1974449907,-8326737748474471376,𝓢𝓪𝓷𝓪𝓶,Mafiya O‘yini | UZB,1429813937
,5983031872,612488117678864583,Неизвестно 🔗🔇,Mafiya O‘yini | UZB,1429813937
Junin_arabian,2045562102,8348539691244263644,Top_PVP_10GPC,Mafiya O‘yini | UZB,1429813937
abdurakhimovna_1,5026750970,7585935699735064305,Жасмина,Mafiya O‘yini | UZB,1429813937
,5542557175,3710753414735413466,Sohibiddin,Mafiya O‘yini | UZB,1429813937
,2119234424,3477296415083469962,Mahliyo🦋,Mafiya O‘yini | UZB,1429813937
Farkxodovic,5213498187,6439968240426633152,꯭❲꯭🇺🇿꯭❳꯭❶꯭➣꯭Fᴀʀᴋxᴏᴅᴏᴠɪᴄ_🦅➣꯭❲꯭꯭🇺🇿꯭❳꯭,Mafiya O‘yini | UZB,1429813937
sal1hem_o6,2037881329,-1130063510294415246,Salihem,Mafiya O‘yini | UZB,1429813937
,6083814304,4791765194435775229,Abdurahimov,Mafiya O‘yini | UZB,1429813937
rxmva_m,5145561563,6577259908603727826,махфуза.,Mafiya O‘yini | UZB,1429813937
BlackBerry_4121,1331242385,-6776838341607164066,꧁ 𝓩𝓾𝓵𝓯𝓲𝔂𝓪 ꧂,Mafiya O‘yini | UZB,1429813937
,1574764971,540903532903762986,♡,Mafiya O‘yini | UZB,1429813937
Yaprak0304,1274363776,-5755494444332848420,❀Melek❀,Mafiya O‘yini | UZB,1429813937
eyvaa_1995,5978711752,-2475491323849204216,eyv@,Mafiya O‘yini | UZB,1429813937
,5696347050,-2863921007423452177,🌜🔹️°•° Moon_Light °•°🔹️🌛,Mafiya O‘yini | UZB,1429813937
Tojimurodov_F_J,1053593277,5161629768472366532,Chief Officer Executive,Mafiya O‘yini | UZB,1429813937
SamSev_09_01,6069885280,4776281278249105072,𝓓​𝓪​𝓼​​𝓬​​𝓱​𝓪​𝓷​​𝓸​​𝓿​𝓪,Mafiya O‘yini | UZB,1429813937
,2080272734,-3694406528239185927,Jahongir,Mafiya O‘yini | UZB,1429813937
raxmonovuz,5707960180,2627509285362940628,Raxmonov,Mafiya O‘yini | UZB,1429813937
,592219473,-4112146677926266705,Gangster,Mafiya O‘yini | UZB,1429813937
Temurbeek_77,888295251,-5575032908060198024,Temurbeek_77,Mafiya O‘yini | UZB,1429813937
Akk4700,5246403254,-3566119496379612692,Zero,Mafiya O‘yini | UZB,1429813937
Omonov_aaa,1694320022,-6708006564000859463,Malokhat,Mafiya O‘yini | UZB,1429813937
Rustamovna_003,5294926794,-4189881158601169654,𝒜𝓀𝓇𝒶𝓂𝒿ℴ𝓃ℴ𝓋𝒶 💗,Mafiya O‘yini | UZB,1429813937
,394750357,790977542441278409,Фирдавс,Mafiya O‘yini | UZB,1429813937
,991500042,7791082060971777928,OdilSaxiy,Mafiya O‘yini | UZB,1429813937
Sobit_0609,1156265996,3587549576241275583,Sobit,Mafiya O‘yini | UZB,1429813937
Vakxabov,5436366825,-6099639921257553150,shokr_,Mafiya O‘yini | UZB,1429813937
,5371802446,4568293875557092349,"@,,,,,,",Mafiya O‘yini | UZB,1429813937
Muhammadali_Bahodirov,5254444882,819310084812235764,Muhammad Ali,Mafiya O‘yini | UZB,1429813937
D_CICEK_0007,5890406659,1104107397874187163,☘︎☾︎🦋❤️♡𝐂̧𝐈𝐂̧𝐄𝐊♡❤️🦋☽︎☘︎,Mafiya O‘yini | UZB,1429813937
,6020299563,3521152516725861621,Скромный .,Mafiya O‘yini | UZB,1429813937
andmi_talabaa,5403455491,-6036700727081307591,Шаробиддинов_,Mafiya O‘yini | UZB,1429813937
,72662535,-106355285371278332,Doniyor,Mafiya O‘yini | UZB,1429813937
line_zz,5353604575,8491280250302087170,_abror,Mafiya O‘yini | UZB,1429813937
Negus01,1341831295,3200552527536055902,Элмурад,Mafiya O‘yini | UZB,1429813937
,1773932191,-5065782819189109282,ربعة,Mafiya O‘yini | UZB,1429813937
,5865120846,-6764827299945200482,👑🫀🌑,Mafiya O‘yini | UZB,1429813937
,1447399099,3097093591927773300,<doniyor/>,Mafiya O‘yini | UZB,1429813937
Kanal_Delete_Bot,5040501284,7370741831895839947,Kanal Delete 🗑,Mafiya O‘yini | UZB,1429813937
PERLES_TR,5275612426,-2921950893868440021,DESANT,Mafiya O‘yini | UZB,1429813937
mehribonu01,1958668651,7537171496158431260,Mehribonu,Mafiya O‘yini | UZB,1429813937
RTxZIKO,334177122,-1074248447847681848,ZIYOD,Mafiya O‘yini | UZB,1429813937
ILYOSXON_QORI,5329696886,-3366632931590961227,ILYOSBEK,Mafiya O‘yini | UZB,1429813937
M_f2007Umar,5577978114,982145625747736514,M F,Mafiya O‘yini | UZB,1429813937
tungi_Arvoh,1124416005,-73872654225597837,⟨꯭🇦🇱꯭𝄀𝄄꯭𝄀꯭𝆹꯭𝅥𝆹𝅥𝄀𝄄꯭꯭𝄀꯭꯭꯭꯭꯭🤍꯭𝄀꯭𝄄꯭𝄀꯭𝄀,Mafiya O‘yini | UZB,1429813937
Siitor_s,5217200902,5655526360929123805,❀𝑺𝒖𝒍𝒕𝒂𝒏𝒐𝒗𝒂 𝑺❀,Mafiya O‘yini | UZB,1429813937
,1410831951,-2814630707296729580,ℳℯ𝒽𝓇𝒾𝓃𝒾𝓈ℴ ✿︎,Mafiya O‘yini | UZB,1429813937
,210678611,-2479670208253647101,❤🖤,Mafiya O‘yini | UZB,1429813937
parkteyona,1753607496,420178414309363656,jasmin🐰,Mafiya O‘yini | UZB,1429813937
