username,user id,access hash,name,group,group id
Anders_Coinsbit,5113164346,58773727437121816,Anders | Coinsbit.io,Coinsbit CryptoExchange,1161864232
AMACoinsbit,6137594402,-5517923276477575429,Coinsbit AMA,Coinsbit CryptoExchange,1161864232
GintokisL,639434250,-5737912579036639516,Jas,Coinsbit CryptoExchange,1161864232
Andrey_CoinsBIT,5398526986,-4290496444661086327,Andrey | Coinsbit,Coinsbit CryptoExchange,1161864232
AlexCNB,5376546990,-3083468117553386124,Alex | CoinsBIT.io,Coinsbit CryptoExchange,1161864232
noviylist,354235480,5251698926125710487,.,Coinsbit CryptoExchange,1161864232
team_coinsbit,5004738475,3253474673592666074,Coinsbit Team Listing,Coinsbit CryptoExchange,1161864232
amandaa_coinsbit,1962923236,-2584539572856540015,Amanda | CoinsBIT.io,Coinsbit CryptoExchange,1161864232
Assistant_CoinsBit,1845401702,5985743933503503127,Listing Assistant | CoinsBit,Coinsbit CryptoExchange,1161864232
TaCNB,1956949915,2719559804735459576,Tina | CoinsBIT.io,Coinsbit CryptoExchange,1161864232
Michael_coinsbit,1978399915,-1258888096184406666,Michael | CoinsBIT.io,Coinsbit CryptoExchange,1161864232
Eva_CoinsBit,1860544285,-7261763777456349313,Eva | CoinsBIT.io,Coinsbit CryptoExchange,1161864232
Coinsbit_Listing,1345239684,1421276210847743057,Head of Listing Coinsbit,Coinsbit CryptoExchange,1161864232
badalien1,371894052,-8830240462370449901,Mark,Coinsbit CryptoExchange,1161864232
Max_Coinsbit,1510385521,-7776618212018637281,Max | CoinsBIT.io,Coinsbit CryptoExchange,1161864232
Julia_coinsbit,1662978725,-4239708676383474117,Julia | Coinsbit.io,Coinsbit CryptoExchange,1161864232
fovbot,406069584,2564286686306921761,fovbot,Coinsbit CryptoExchange,1161864232
btcu_support_team,1186954099,-3083618921013165740,BTCU Support Team,Coinsbit CryptoExchange,1161864232
Kevin_coinsbit,1392158387,-5014731438294159230,Kevin | CoinsBIT.io,Coinsbit CryptoExchange,1161864232
Dimitriy_coinsbit,1393849092,5052544371742518144,Dimitriy | CoinsBIT.io,Coinsbit CryptoExchange,1161864232
coinsbit_bot,809952925,1423447448465028290,CoinsBit Bot,Coinsbit CryptoExchange,1161864232
Coinsbit_Partners,1258022099,-694207310439518808,Head of Partnership,Coinsbit CryptoExchange,1161864232
coinsbit_ama,1173257233,-1783922283727881096,Coinsbit AMA,Coinsbit CryptoExchange,1161864232
,652676252,6885165685564741726,,Coinsbit CryptoExchange,1161864232
prmr_30,516481702,6220416498889312348,PM,Coinsbit CryptoExchange,1161864232
Sergio_Coinsbit_support,645707759,1864603545410785727,Sergio l CoinsBit Support NEVER WRITE IN PM,Coinsbit CryptoExchange,1161864232
combot,210944655,148445683106308856,Combot,Coinsbit CryptoExchange,1161864232
