username,user id,access hash,name,group,group id
hugo0069,806879735,7464564860248264537,かみ,GameFi.org Global Chat,1506291830
Alexfes5,5102853312,4181318398268947139,Alex fes,GameFi.org Global Chat,1506291830
Bish0p42,251810448,5134221141530368945,Алексей,GameFi.org Global Chat,1506291830
dsatyb,215530364,2401596543929354487,MINT,GameFi.org Global Chat,1506291830
SYOFhr,5806729977,-6273525439034460395,Group Helped,GameFi.org Global Chat,1506291830
GameFi_org_bot,5729414990,4147037328453333894,GameFi.org Bot,GameFi.org Global Chat,1506291830
calvin6789,1309365907,-8113646888576101337,Nguyen,GameFi.org Global Chat,1506291830
dabblerpro,1762932668,6213779621010635409,dabbler,GameFi.org Global Chat,1506291830
Obliv10n87,434009954,-6463522088380576825,0igr3s,GameFi.org Global Chat,1506291830
,6049679868,8976266356626467222,Quasar,GameFi.org Global Chat,1506291830
phyomgmghein,1359926781,1296439865618631035,phyo mg mg hein,GameFi.org Global Chat,1506291830
payss21,6118968415,-3717834307459934252,PAYSS,GameFi.org Global Chat,1506291830
beswick2019,6115107731,2512529559780144635,Quincy Watts,GameFi.org Global Chat,1506291830
zhulili9885,5744474099,-5020660697103878712,Julie Li,GameFi.org Global Chat,1506291830
Jean1624,5908096073,-2798628751186837851,Jenny,GameFi.org Global Chat,1506291830
AiMillie,6281120360,3367909253179018059,Millie,GameFi.org Global Chat,1506291830
Yuyu1mie,5936036459,8608943006798641719,Yuyu,GameFi.org Global Chat,1506291830
Althea145,6170177484,-2782219125921655231,Althea,GameFi.org Global Chat,1506291830
a115444,6146753436,6512624649445733401,Shirley,GameFi.org Global Chat,1506291830
yuyu32452,5431123009,-1690387297396624345,nono,GameFi.org Global Chat,1506291830
cosmoids,471788412,-3076401112625401602,Dima Cosmo,GameFi.org Global Chat,1506291830
Juliet6866,1174003449,2173142598953343206,Juliet,GameFi.org Global Chat,1506291830
mixkopi,1325033839,2865512182344051428,Rakha.,GameFi.org Global Chat,1506291830
gongada2,1496707297,-6036401449604655200,harish,GameFi.org Global Chat,1506291830
asdnuandoahwod,6184715870,8906657819794111930,lulu,GameFi.org Global Chat,1506291830
DeelPH,1796867329,-2330544093521602328,Deel [WILL NEVER DM YOU FIRST],GameFi.org Global Chat,1506291830
A_n_g_Ana,5603402937,-313076821322755855,Ana Ang,GameFi.org Global Chat,1506291830
,2063842964,1014831862988140463,floating clouds floating clouds,GameFi.org Global Chat,1506291830
flowers582,6120620965,-9043696850279583868,Lin Nina,GameFi.org Global Chat,1506291830
shubu25,861444414,9052516058424498455,Shubham,GameFi.org Global Chat,1506291830
Beheo155e,1225213832,-2471327289718247951,Zack Kiss,GameFi.org Global Chat,1506291830
Ngoc_26,5120338091,4090868785972867493,Ngọc - Zechain Venture,GameFi.org Global Chat,1506291830
Arifulhasan72,5867817662,-4824580412524133381,Arif,GameFi.org Global Chat,1506291830
thanhskpt,5319792228,-4609082566344253809,Nguyễn Công Thành,GameFi.org Global Chat,1506291830
Bac05032002,1137403756,3790540694205954406,Lisa và Rosé (Hangul: 로제),GameFi.org Global Chat,1506291830
ditya_XX,1835410566,9008711605992049809,DitYa_eth,GameFi.org Global Chat,1506291830
,1832234252,-7942514897521060045,mp Mp,GameFi.org Global Chat,1506291830
hansheng589,5763764858,-7543182545803994201,Han Sheng,GameFi.org Global Chat,1506291830
Instamac,1045087396,-9120294627675849272,Instamac,GameFi.org Global Chat,1506291830
mudi36,1597331910,-8339144872447380210,mustafa,GameFi.org Global Chat,1506291830
Annie8991,5391380414,7609591683857480704,Annie,GameFi.org Global Chat,1506291830
BR042025,5955207159,7983121523074854272,B B,GameFi.org Global Chat,1506291830
rknft28,1658216678,-5414306286931072190,RAI,GameFi.org Global Chat,1506291830
nfiwhfnwnfw,5709419448,7361237575101921586,Alma li,GameFi.org Global Chat,1506291830
digital_washington,519762920,-7928448023383162812,Digital Washington,GameFi.org Global Chat,1506291830
norrisrxx,5197879077,3858681835881682093,Chuck No Wrist,GameFi.org Global Chat,1506291830
vincesonPH,587502456,7329518147469512405,Vinceson [ WILL NEVER DM FIRST ],GameFi.org Global Chat,1506291830
Dre0357,1655536232,2146929168519530847,Dre | Never DM you first 👌🏻,GameFi.org Global Chat,1506291830
Iuryzera333,5271251732,3613989494990718484,Iuryzeira,GameFi.org Global Chat,1506291830
,1403840836,-1815617016949367714,Champange S,GameFi.org Global Chat,1506291830
eyetil1,1985272547,-7859010229810821162,Eyetil2.0,GameFi.org Global Chat,1506291830
digitallycorrupted,849438873,1123893673136577436,𝒅𝒊𝒈𝒊𝒕𝒂𝒍𝒍𝒚 𝒄𝒐𝒓𝒓𝒖𝒑𝒕𝒆𝒅,GameFi.org Global Chat,1506291830
nowayout2001,5630272852,-749289518701736572,noway Enkey,GameFi.org Global Chat,1506291830
mwaaahaha,1672822964,5716281090867685511,Tuấn Bệu,GameFi.org Global Chat,1506291830
Onerb,1942589578,4205149748089851977,Otit _ CharityDAOVN,GameFi.org Global Chat,1506291830
HoangThang0505,5423760666,5984297055421435369,Hoàng Thắng,GameFi.org Global Chat,1506291830
VlWCXH,6183348063,-5370105977893123166,Tyler Mcdaniel,GameFi.org Global Chat,1506291830
Real_Steve1,1306439053,-5363190374142228606,STEVEN SMART,GameFi.org Global Chat,1506291830
munariitalo,968185434,-5961661550532023332,kamdem | Destiny World,GameFi.org Global Chat,1506291830
nbrkz,2069336565,4075273751559811799,nbrkz,GameFi.org Global Chat,1506291830
irshadking,473717295,1519194468838557024,Irshad 🇮🇳,GameFi.org Global Chat,1506291830
,5686048240,-4663302129680710043,Justin Chaula,GameFi.org Global Chat,1506291830
St_Defender,1697788214,-6802522504370651963,St,GameFi.org Global Chat,1506291830
onlysober,358768304,6661984958338982360,Вадя,GameFi.org Global Chat,1506291830
temnowhat,1660935292,7860231618430077917,Хто ти такий?,GameFi.org Global Chat,1506291830
KpMBxU,5729944131,4167448287546070606,Rose,GameFi.org Global Chat,1506291830
Jonathan1989P,957832291,-6266132343224139134,Jonathan Peña,GameFi.org Global Chat,1506291830
Pavani1430,1367119307,4509229841644986654,Ramjai,GameFi.org Global Chat,1506291830
